epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8012,1.94012,3.77363,2.05346,0.00815,1,0.56821,0.27431,1.22258,4.07438,1.63231,0.00018887,0.00018887,0.00018887
2,61.8856,1.48015,2.77977,1.62938,0.0053,0.98667,0.39015,0.20871,1.37294,3.68668,1.63929,0.000381151,0.000381151,0.000381151
3,91.9007,1.47564,2.24293,1.57593,0.95641,0.17476,0.75083,0.37882,1.40833,3.17948,1.75772,0.000565512,0.000565512,0.000565512
4,122.834,1.48202,2.01833,1.58456,0.71428,0.64705,0.7437,0.35145,1.68761,2.89707,1.9777,0.000741955,0.000741955,0.000741955
5,154.109,1.46228,1.86415,1.54905,0.75524,0.6202,0.75797,0.40062,1.55588,2.78728,1.82523,0.000910478,0.000910478,0.000910478
6,184.359,1.43472,1.87223,1.5302,0.64044,0.88101,0.89196,0.50274,1.55051,3.06091,1.7927,0.00100101,0.00100101,0.00100101
7,214.457,1.45605,1.6933,1.53331,0.79989,0.92844,0.9035,0.50487,1.50485,2.06408,1.77286,0.000979013,0.000979013,0.000979013
8,244.296,1.42779,1.64313,1.49703,0.80286,0.84004,0.90185,0.53155,1.62249,2.41039,1.83853,0.000957015,0.000957015,0.000957015
9,273.97,1.42463,1.56991,1.44435,0.86049,0.96316,0.93522,0.52982,1.49566,1.97766,1.74918,0.000935018,0.000935018,0.000935018
10,303.681,1.40434,1.54364,1.47799,0.88452,0.9494,0.94384,0.56273,1.39455,1.71526,1.68677,0.00091302,0.00091302,0.00091302
11,333.116,1.35909,1.43262,1.4406,0.9346,0.98302,0.9428,0.59137,1.29966,1.46725,1.55374,0.000891022,0.000891022,0.000891022
12,363.121,1.37549,1.38726,1.45352,0.91109,0.97289,0.94896,0.57199,1.35098,1.41092,1.58644,0.000869024,0.000869024,0.000869024
13,392.97,1.40095,1.35456,1.43478,0.89064,0.97128,0.92673,0.61389,1.28614,1.36895,1.51583,0.000847026,0.000847026,0.000847026
14,424.012,1.38763,1.3703,1.43102,0.91143,0.96034,0.93819,0.58085,1.27227,1.32648,1.55031,0.000825029,0.000825029,0.000825029
15,454.217,1.29845,1.24015,1.40361,0.90901,0.95581,0.95559,0.55906,1.44128,1.39523,1.7171,0.000803031,0.000803031,0.000803031
16,484.733,1.27696,1.11484,1.34309,0.93065,0.98158,0.95558,0.56548,1.47078,1.21438,1.69858,0.000781033,0.000781033,0.000781033
17,514.911,1.35526,1.21848,1.41461,0.92591,0.98253,0.9631,0.56062,1.43291,1.20647,1.70807,0.000759035,0.000759035,0.000759035
18,545.204,1.33658,1.17881,1.40868,0.93364,0.98667,0.96805,0.62381,1.36905,1.16695,1.61577,0.000737037,0.000737037,0.000737037
19,575.487,1.30097,1.11047,1.38867,0.94768,0.98667,0.9706,0.64761,1.33938,1.08497,1.57212,0.00071504,0.00071504,0.00071504
20,605.252,1.24606,1.06957,1.34525,0.94615,0.98667,0.9662,0.63535,1.31403,1.03912,1.55907,0.000693042,0.000693042,0.000693042
21,634.929,1.26731,1.04786,1.35644,0.9393,0.98667,0.96306,0.60563,1.39106,1.02319,1.58386,0.000671044,0.000671044,0.000671044
22,665.029,1.28413,1.04247,1.37013,0.90023,0.97722,0.95688,0.61211,1.42446,1.12222,1.62548,0.000649046,0.000649046,0.000649046
23,694.641,1.27218,1.01674,1.34295,0.9453,0.98667,0.96608,0.62818,1.32385,0.99101,1.52637,0.000627048,0.000627048,0.000627048
24,724.899,1.1837,0.98806,1.30843,0.9315,0.98667,0.95786,0.61772,1.30244,0.96995,1.5673,0.000605051,0.000605051,0.000605051
25,754.507,1.1933,0.99974,1.29676,0.94043,0.98442,0.96865,0.62524,1.40444,0.92228,1.59517,0.000583053,0.000583053,0.000583053
26,784.6,1.23638,0.99267,1.32735,0.94121,0.98667,0.96408,0.63521,1.24257,0.86575,1.49423,0.000561055,0.000561055,0.000561055
27,814.371,1.18241,0.94065,1.28738,0.94398,0.98667,0.97091,0.63502,1.33046,0.89637,1.57213,0.000539057,0.000539057,0.000539057
28,844.154,1.24288,0.95353,1.30904,0.9436,0.98416,0.97968,0.5696,1.50694,0.97677,1.73972,0.000517059,0.000517059,0.000517059
29,874.026,1.22962,0.98028,1.3226,0.94573,0.98615,0.97729,0.64098,1.27102,0.88078,1.5165,0.000495062,0.000495062,0.000495062
30,903.761,1.18887,0.86832,1.28707,0.94678,0.98667,0.96962,0.62992,1.23348,0.80181,1.51898,0.000473064,0.000473064,0.000473064
31,933.597,1.18354,0.83714,1.29108,0.94513,0.98667,0.97631,0.64783,1.24829,0.79159,1.49987,0.000451066,0.000451066,0.000451066
32,963.179,1.15875,0.87828,1.29778,0.94782,0.98667,0.97345,0.63921,1.25987,0.78901,1.5104,0.000429068,0.000429068,0.000429068
33,992.592,1.12527,0.85035,1.29402,0.94157,0.98667,0.97204,0.6472,1.24705,0.80189,1.49539,0.00040707,0.00040707,0.00040707
34,1022.23,1.08578,0.78904,1.24046,0.95033,0.98636,0.95031,0.6388,1.27933,0.78306,1.49169,0.000385073,0.000385073,0.000385073
35,1052.62,1.10996,0.7966,1.25443,0.95052,0.98667,0.96179,0.64847,1.26922,0.7514,1.47897,0.000363075,0.000363075,0.000363075
36,1082.42,1.13764,0.84433,1.25703,0.94797,0.98667,0.97077,0.64664,1.2505,0.723,1.48771,0.000341077,0.000341077,0.000341077
37,1112.18,1.12142,0.83078,1.26928,0.94525,0.98405,0.96916,0.63716,1.40637,0.76876,1.58199,0.000319079,0.000319079,0.000319079
38,1142.07,1.13864,0.79326,1.27806,0.94158,0.98401,0.9686,0.63557,1.33587,0.73997,1.52479,0.000297081,0.000297081,0.000297081
39,1172.09,1.06604,0.74661,1.21532,0.94646,0.98667,0.97083,0.65229,1.32393,0.75456,1.54216,0.000275084,0.000275084,0.000275084
40,1201.85,1.09148,0.76091,1.25035,0.94362,0.98667,0.97084,0.65246,1.33046,0.72927,1.55186,0.000253086,0.000253086,0.000253086
41,1231.27,1.06535,0.83667,1.34173,0.94021,0.98667,0.96753,0.66419,1.24378,0.77813,1.49323,0.000231088,0.000231088,0.000231088
42,1260.38,1.07047,0.80132,1.32432,0.95119,0.98667,0.96652,0.66403,1.22582,0.73164,1.47295,0.00020909,0.00020909,0.00020909
43,1289.61,1.00685,0.72021,1.30023,0.94973,0.98667,0.9645,0.64759,1.25855,0.73681,1.4902,0.000187092,0.000187092,0.000187092
44,1323.41,0.98387,0.71395,1.25039,0.94314,0.98667,0.96279,0.65956,1.3019,0.7459,1.51349,0.000165095,0.000165095,0.000165095
45,1352.58,1.01025,0.7045,1.27954,0.94703,0.98667,0.9663,0.65152,1.28464,0.70881,1.51275,0.000143097,0.000143097,0.000143097
46,1382.09,0.97969,0.68037,1.27648,0.94861,0.98667,0.9663,0.6522,1.28029,0.68153,1.52269,0.000121099,0.000121099,0.000121099
47,1411.34,0.98001,0.67591,1.26934,0.95394,0.98667,0.96859,0.64613,1.27784,0.68137,1.52453,9.91012e-05,9.91012e-05,9.91012e-05
48,1440.86,0.97841,0.67714,1.29263,0.95675,0.98667,0.96959,0.64681,1.28527,0.67989,1.53312,7.71034e-05,7.71034e-05,7.71034e-05
49,1472.75,0.98381,0.66152,1.27099,0.95555,0.98667,0.96959,0.64381,1.2974,0.67897,1.54349,5.51056e-05,5.51056e-05,5.51056e-05
50,1506.45,0.94472,0.65084,1.2662,0.95068,0.98667,0.96959,0.64684,1.3049,0.67978,1.54379,3.31078e-05,3.31078e-05,3.31078e-05
